account,hook,video_file
devinjatho,"Never should you ever record a video, get up, and then turn off the recording",/viral-reels/devinjatho/devinjatho__DE7d5gzxAXk.mp4
devinjatho,"Stop using call to actions in your videos like, ""Follow me for more, like this video, save this video",/viral-reels/devinjatho/devinjatho__DHWKG6AxhpU.mp4
devinjatho,"Alright, so in 60 seconds I'm gonna show you how to transform your shitty unoptimized profile into a perfectly optimized profile that I guarantee will",/viral-reels/devinjatho/devinjatho__DHgVUG3x5YV.mp4
devinjatho,"As of last week, Instagram dropped a massive update",/viral-reels/devinjatho/devinjatho__DM5X-WgxK27.mp4
devinjatho,All of these viral videos have the same exact hook,/viral-reels/devinjatho/devinjatho__DMQN4tms68V.mp4
devinjatho,"Most of your clients would happily give you a testimonial that would bring you even more clients, but you just don't fucking ask",/viral-reels/devinjatho/devinjatho__DMiT4yrsRNa.mp4
devinjatho,This background you're looking at,/viral-reels/devinjatho/devinjatho__DNDfsANOqJc.mp4
devinjatho,Taking followers hooks from shit to gold part one,/viral-reels/devinjatho/devinjatho__DOGwCLZjTqS.mp4
devinjatho,"If you're a business owner or a video editor, listen up",/viral-reels/devinjatho/devinjatho__DPCEQYdjbPz.mp4
devinjatho,Please do sales,/viral-reels/devinjatho/devinjatho__DQ2ALrNjjP6.mp4
devinjatho,"Never, ever, ever post on Instagram without using this brand new feature",/viral-reels/devinjatho/devinjatho__DSh8cgtjfGX.mp4
devinjatho,"You should never, ever, ever post on Instagram again without turning on this brand new setting",/viral-reels/devinjatho/devinjatho__DTvM3ZvDegP.mp4
devinjatho,This is how the algorithm works for Instagram stories,/viral-reels/devinjatho/devinjatho__DUDyNkajSDl.mp4
devinjatho,"Two people get 100,000 views, but person A's audience looks like this, and person B's audience looks like this",/viral-reels/devinjatho/devinjatho__DVjDzE9Ekya.mp4
devinjatho,Instagram just slapped your dick on the table with this new update,/viral-reels/devinjatho/devinjatho__DVtNysZjc7I.mp4
devinjatho,Never post on Instagram again without turning on these five settings,/viral-reels/devinjatho/devinjatho__DX0MuRvSFV2.mp4
devinjatho,Instagram seriously just gave you the biggest fucking cheat code and you didn't even notice,/viral-reels/devinjatho/devinjatho__DXo0c5bkn53.mp4
devinjatho,"If I take off all my clothes, if I remove this luxurious background behind me, swap my professional lighting for the room light, and if",/viral-reels/devinjatho/devinjatho__DXsJznEEsHp.mp4
devinjatho,You will never go viral if you don't learn how to speak on camera,/viral-reels/devinjatho/devinjatho__DY5rxTQSxLy.mp4
devinjatho,These background songs go viral time and time again,/viral-reels/devinjatho/devinjatho__DYM77_bSI0J.mp4
devinjatho,Did you seriously not know Instagram tells you which hooks will go viral,/viral-reels/devinjatho/devinjatho__DZ5oDTfy4wP.mp4
devinjatho,"Stop using hooks in your videos like, ""Here's my ultimate hack, too",/viral-reels/devinjatho/devinjatho__Da2x2TaSmUH.mp4
devinjatho,"I posted both of these videos last month, but guess which one performed better",/viral-reels/devinjatho/devinjatho__DaNjENfS0wn.mp4
devinjatho,"No, no, no",/viral-reels/devinjatho/devinjatho__Dau4zb1SsbG.mp4
devinjatho,You finally get your first viral video,/viral-reels/devinjatho/devinjatho__DbS2vcfyQxx.mp4
